Start_Year,End_Year,All,Asian_not_HL_Single_Race,Asian_PI,Asian_PI_not_HL,Black,Black_Single_Race,Black_not_HL,Black_not_HL_Single_Race,Hispanic_Latina,Native,Native_not_HL,Native_not_HL_Single_Race,White,White_Single_Race,White_not_HL,White_not_HL_Single_Race
,2000,,,,,,,,,,,,,,,,
2000,2001,0.01%,,-0.04%,-0.04%,0.00%,,0.01%,,0.01%,-0.01%,0.00%,,0.01%,,0.02%,
2001,2002,0.02%,,0.04%,0.05%,0.02%,,0.02%,,0.01%,0.01%,0.03%,,0.02%,,0.02%,
2002,2003,0.04%,,0.08%,0.06%,0.02%,,0.02%,,0.04%,-0.05%,0.61%,,0.05%,,0.04%,
2003,2004,0.03%,,0.02%,0.03%,0.03%,,0.01%,,0.02%,0.04%,-0.59%,,0.02%,,0.02%,
2004,2005,0.01%,,0.01%,0.01%,0.05%,,0.04%,,0.05%,-0.02%,0.01%,,0.01%,,0.00%,
2005,2006,0.03%,,0.03%,0.05%,0.01%,,0.01%,,0.03%,0.00%,0.01%,,0.03%,,0.02%,
2006,2007,0.02%,,0.02%,0.01%,0.02%,,0.02%,,0.00%,-0.02%,-0.02%,,0.02%,,0.02%,
2007,2008,0.03%,,0.05%,0.05%,0.01%,,0.02%,,0.02%,0.01%,0.02%,,0.02%,,0.02%,
2008,2009,0.01%,,0.02%,0.02%,0.01%,,0.02%,,-0.01%,0.00%,0.01%,,0.02%,,0.02%,
2009,2010,0.02%,,0.02%,0.03%,0.04%,,0.03%,,-0.02%,-0.01%,0.00%,,0.01%,,0.01%,
2010,2011,0.01%,,0.01%,0.00%,0.01%,,0.01%,,0.01%,0.03%,0.00%,,0.01%,,0.01%,
2011,2012,0.01%,,0.09%,0.09%,0.03%,,0.03%,,0.01%,0.00%,0.04%,,-0.01%,,-0.02%,
2012,2013,0.00%,,0.00%,0.00%,0.03%,,0.03%,,0.01%,0.00%,-0.01%,,0.01%,,0.00%,
2013,2014,0.02%,,0.00%,0.01%,0.02%,,0.02%,,0.02%,0.00%,0.04%,,0.01%,,0.00%,
2014,2015,0.04%,,-0.02%,-0.03%,0.05%,,0.06%,,0.05%,0.03%,0.02%,,0.04%,,0.03%,
2015,2016,0.04%,,0.06%,0.02%,0.09%,,0.04%,,0.05%,1.07%,0.03%,,0.03%,,0.04%,
2016,2017,0.02%,0.01%,0.00%,0.00%,0.06%,0.07%,0.06%,0.06%,0.00%,,-0.01%,0.00%,0.01%,0.01%,0.02%,0.02%
2017,2018,0.02%,-0.04%,-0.07%,-0.02%,0.02%,0.01%,0.06%,0.06%,0.00%,,0.01%,0.01%,0.04%,0.04%,0.02%,0.03%
2018,2019,0.02%,0.04%,0.05%,0.03%,0.02%,0.03%,0.03%,0.03%,0.00%,,-0.02%,-0.03%,0.01%,0.01%,0.02%,0.01%
