Start_Year,End_Year,All,Asian_not_HL_Single_Race,Asian_PI,Asian_PI_not_HL,Black,Black_Single_Race,Black_not_HL,Black_not_HL_Single_Race,Hispanic_Latina,Native,Native_not_HL,Native_not_HL_Single_Race,White,White_Single_Race,White_not_HL,White_not_HL_Single_Race
,2000,,,,,,,,,,,,,,,,
2000,2001,-0.26%,,-0.06%,-0.03%,-0.59%,,-0.60%,,-0.13%,-0.44%,-0.32%,,-0.19%,,-0.28%,
2001,2002,-0.33%,,-0.21%,-0.21%,-0.66%,,-0.64%,,-0.42%,-0.74%,-0.74%,,-0.27%,,-0.27%,
2002,2003,-0.26%,,-0.26%,-0.18%,-0.50%,,-0.61%,,-0.23%,-0.32%,-7.66%,,-0.21%,,-0.20%,
2003,2004,-0.09%,,-0.07%,-0.29%,0.00%,,-0.18%,,0.00%,-0.22%,7.46%,,-0.12%,,-0.14%,
2004,2005,-0.03%,,-0.02%,-0.07%,-0.01%,,-0.14%,,-0.04%,-0.19%,-0.04%,,-0.04%,,-0.06%,
2005,2006,0.28%,,-0.10%,-0.08%,0.44%,,0.49%,,0.43%,0.28%,0.52%,,0.27%,,0.14%,
2006,2007,0.05%,,-0.05%,-0.02%,-0.04%,,0.01%,,-0.40%,0.55%,0.87%,,0.05%,,0.10%,
2007,2008,-0.35%,,-0.19%,-0.18%,-0.57%,,-0.52%,,-1.07%,-0.61%,-0.68%,,-0.32%,,-0.18%,
2008,2009,-0.42%,,-0.21%,-0.20%,-0.66%,,-0.65%,,-1.07%,-0.67%,-0.54%,,-0.38%,,-0.24%,
2009,2010,-0.58%,,-0.22%,-0.18%,-0.81%,,-0.79%,,-1.26%,-0.74%,-1.00%,,-0.54%,,-0.37%,
2010,2011,-0.41%,,-0.06%,-0.08%,-0.60%,,-0.68%,,-0.92%,-0.45%,-0.61%,,-0.40%,,-0.26%,
2011,2012,-0.27%,,-0.04%,-0.05%,-0.44%,,-0.47%,,-0.43%,-0.11%,-0.01%,,-0.25%,,-0.20%,
2012,2013,-0.43%,,-0.16%,-0.14%,-0.71%,,-0.71%,,-0.64%,-0.72%,-1.10%,,-0.36%,,-0.29%,
2013,2014,-0.33%,,-0.22%,-0.20%,-0.54%,,-0.55%,,-0.47%,-0.47%,-0.79%,,-0.27%,,-0.21%,
2014,2015,-0.31%,,-0.11%,-0.12%,-0.48%,,-0.48%,,-0.42%,-0.28%,-0.31%,,-0.27%,,-0.23%,
2015,2016,-0.32%,,0.07%,-0.12%,-0.26%,,-0.41%,,-0.46%,-3.23%,-0.47%,,-0.37%,,-0.27%,
2016,2017,-0.24%,-0.10%,-0.10%,-0.10%,-0.24%,-0.26%,-0.26%,-0.27%,-0.46%,,-0.51%,-0.45%,-0.24%,-0.25%,-0.17%,-0.17%
2017,2018,-0.28%,-0.11%,-0.31%,-0.11%,-0.47%,-0.46%,-0.31%,-0.29%,-0.42%,,-0.47%,-0.52%,-0.23%,-0.23%,-0.24%,-0.24%
2018,2019,-0.12%,-0.02%,-0.11%,-0.11%,-0.01%,-0.02%,-0.03%,-0.05%,-0.23%,,-0.14%,-0.11%,-0.16%,-0.15%,-0.13%,-0.13%
