Start_Year,End_Year,All,Asian_PI,Asian_PI_not_HL,Black,Black_not_HL,Hispanic_Latina,Native,Native_not_HL,White,White_not_HL,
,2000,,,,,,,,,,,
2000,2001,-0.41%,-0.43%,-0.41%,-0.84%,-0.81%,-0.08%,-0.34%,-0.08%,-0.32%,-0.42%,
2001,2002,-0.25%,-0.05%,-0.05%,-0.60%,-0.59%,-0.15%,-0.31%,-0.19%,-0.18%,-0.23%,
2002,2003,-0.08%,-0.12%,-0.13%,-0.10%,-0.26%,0.01%,-0.37%,-8.55%,-0.07%,-0.06%,
2003,2004,-0.08%,-0.10%,-0.30%,0.16%,-0.09%,0.01%,-0.16%,8.33%,-0.11%,-0.11%,
2004,2005,0.03%,-0.04%,-0.08%,0.20%,0.00%,0.19%,-0.25%,-0.12%,0.01%,-0.03%,
2005,2006,0.37%,0.09%,0.11%,0.57%,0.65%,0.56%,0.39%,0.71%,0.35%,0.24%,
2006,2007,-0.01%,-0.06%,-0.01%,-0.06%,0.01%,-0.21%,-0.10%,0.00%,0.01%,0.00%,
2007,2008,-0.36%,-0.28%,-0.26%,-0.40%,-0.29%,-1.05%,-0.31%,-0.02%,-0.37%,-0.23%,
2008,2009,-0.56%,-0.40%,-0.40%,-0.55%,-0.57%,-1.40%,-0.64%,-0.57%,-0.57%,-0.36%,
2009,2010,-0.62%,-0.38%,-0.34%,-0.70%,-0.65%,-1.40%,-0.53%,-0.29%,-0.62%,-0.43%,
2010,2011,-0.47%,-0.07%,-0.11%,-0.62%,-0.71%,-1.01%,-0.44%,-0.88%,-0.49%,-0.31%,
2011,2012,-0.22%,-0.05%,-0.05%,-0.32%,-0.33%,-0.45%,-0.49%,-0.80%,-0.22%,-0.16%,
2012,2013,-0.24%,-0.23%,-0.22%,-0.32%,-0.34%,-0.43%,-0.28%,-0.57%,-0.23%,-0.19%,
2013,2014,-0.17%,-0.16%,-0.15%,-0.29%,-0.28%,-0.27%,-0.57%,-0.75%,-0.12%,-0.12%,
2014,2015,-0.22%,-0.19%,-0.20%,-0.24%,-0.26%,-0.24%,-0.30%,-0.41%,-0.20%,-0.21%,
2015,2016,-0.30%,0.17%,-0.14%,-0.19%,-0.45%,-0.37%,-3.29%,-0.50%,-0.35%,-0.25%,
2016,2017,-0.28%,-0.20%,-0.21%,-0.16%,-0.15%,-0.46%,,-0.40%,-0.31%,-0.26%,
2017,2018,-0.30%,-0.53%,-0.23%,-0.61%,-0.42%,-0.45%,,-0.54%,-0.19%,-0.20%,
2018,2019,-0.14%,-0.20%,-0.21%,-0.12%,-0.15%,-0.13%,,-0.14%,-0.16%,-0.17%,
,,,,,,,,,,,,
,Total change:,-0.0431,-0.0323,-0.0339,-0.1093,-0.0569,-0.0733,-0.0799,-0.0577,-0.0414,-0.035,-56.28%
