Start_Year,End_Year,All,Asian_PI,Asian_PI_not_HL,Black,Black_not_HL,Hispanic_Latina,Native,Native_not_HL,White,White_not_HL,
,2000,,,,,,,,,,,
2000,2001,0.03%,-0.61%,-0.59%,-0.07%,0.00%,0.09%,-0.26%,0.23%,0.11%,0.02%,
2001,2002,0.09%,0.01%,0.01%,-0.02%,0.03%,0.08%,-0.03%,0.37%,0.12%,0.08%,
2002,2003,0.20%,0.03%,-0.15%,0.20%,0.09%,0.24%,0.04%,-1.40%,0.23%,0.23%,
2003,2004,-0.02%,-0.23%,-0.18%,0.30%,0.10%,0.07%,-0.22%,1.71%,-0.05%,-0.06%,
2004,2005,0.00%,-0.38%,-0.44%,0.26%,0.05%,0.23%,-0.08%,0.28%,-0.01%,-0.04%,
2005,2006,0.15%,-0.09%,-0.04%,0.36%,0.45%,0.29%,0.27%,0.43%,0.13%,0.05%,
2006,2007,0.01%,0.35%,0.39%,-0.02%,0.05%,-0.04%,-0.28%,-0.22%,0.00%,-0.02%,
2007,2008,-0.31%,-0.26%,-0.24%,-0.25%,-0.17%,-0.72%,-0.30%,-0.32%,-0.32%,-0.23%,
2008,2009,-0.35%,-0.20%,-0.21%,-0.26%,-0.28%,-0.80%,-0.39%,-0.44%,-0.39%,-0.26%,
2009,2010,-0.32%,-0.31%,-0.28%,-0.35%,-0.35%,-0.90%,-0.49%,-0.50%,-0.30%,-0.13%,
2010,2011,-0.11%,0.22%,0.20%,-0.01%,-0.08%,-0.40%,0.10%,-0.05%,-0.17%,-0.06%,
2011,2012,-0.07%,0.21%,0.23%,0.00%,0.00%,-0.17%,-0.15%,-0.30%,-0.10%,-0.08%,
2012,2013,-0.10%,-0.63%,-0.65%,0.09%,0.10%,-0.05%,0.17%,0.14%,-0.09%,-0.09%,
2013,2014,0.03%,0.05%,0.04%,0.05%,0.06%,-0.04%,-0.09%,-0.14%,0.03%,0.04%,
2014,2015,-0.15%,-0.59%,-0.63%,-0.13%,-0.13%,0.06%,-0.15%,-0.34%,-0.10%,-0.16%,
2015,2016,-0.22%,0.56%,0.28%,0.16%,-0.13%,-0.19%,1.65%,-0.22%,-0.39%,-0.32%,
2016,2017,-0.41%,-0.70%,-0.71%,-0.13%,-0.12%,-0.56%,,-0.71%,-0.43%,-0.40%,
2017,2018,-0.27%,-0.87%,-0.61%,-0.46%,-0.25%,-0.29%,,-0.15%,-0.17%,-0.24%,
2018,2019,-0.16%,-0.10%,-0.12%,-0.02%,-0.06%,-0.09%,,-0.64%,-0.19%,-0.22%,
,,,,,,,,,,,,
,Total change:,-0.0198,-0.0354,-0.037,-0.0922,-0.0064,-0.0319,-0.0021,-0.0227,-0.0209,-0.0189,-28.73%
