gray1,0
gray2,0
gray3,0
gray4,0
gray5,0
gray6,0
gray7,0
gray8,0
gray9,0
gray10,0
gray11,0
gray12,0
gray13,0
gray14,0
gray15,0
gray16,0
gray17,0
gray18,0
gray19,0
gray20,0
gray21,0
gray22,0
gray23,0
gray24,0
gray25,0
gray26,0
gray27,0
gray28,0
gray29,0
gray30,0
gray31,1
gray32,1
gray33,1
gray34,1
gray35,1
gray36,2
gray37,2
gray38,2
gray39,2
gray40,2
gray41,3
gray42,3
gray43,3
gray44,3
gray45,3
gray46,6
gray47,6
gray48,4
gray49,4
gray50,4
gray51,5
gray52,5
gray53,5
gray54,5
gray55,5
gray56,6
gray57,6
gray58,6
gray59,6
gray60,6
